# Structural comparison of de_CH/userGuide.t2t against de_CH/userGuide-newRevisions/14344/userGuide.t2t
de_CH 15.5. start:2408 paragraphs:3, tables:1, lists:0
de_CH 15.6. start:2430 paragraphs:6, tables:2, lists:1
de_CH 15.7. start:2466 paragraphs:3, tables:1, lists:0
de_CH 15.8. start:2485 paragraphs:3, tables:1, lists:0
de_CH 15.9. start:2504 paragraphs:3, tables:0, lists:1
de_CH 15.9.1. start:2518 paragraphs:0, tables:1, lists:0
de_CH 15.9.2. start:2543 paragraphs:0, tables:1, lists:0
de_CH 15.9.3. start:2551 paragraphs:0, tables:1, lists:0
de_CH 15.10. start:2561 paragraphs:2, tables:1, lists:0
de_CH 15.11. start:2633 paragraphs:3, tables:1, lists:0
de_CH 15.12. start:2657 paragraphs:9, tables:3, lists:2
de_CH 15.13. start:2739 paragraphs:8, tables:4, lists:1
de_CH 15.14. start:2823 paragraphs:9, tables:3, lists:1
de_CH 15.15. start:2915 paragraphs:3, tables:1, lists:1
de_CH 15.16. start:2951 paragraphs:1, tables:1, lists:0
de_CH 15.17. start:2961 paragraphs:3, tables:1, lists:0
de_CH 15.18. start:3045 paragraphs:2, tables:1, lists:0
de_CH 15.19. start:3061 paragraphs:4, tables:1, lists:0
en 16. start:2535 paragraphs:1, tables:0, lists:0
de_CH 16. start:3083 paragraphs:0, tables:0, lists:0
de_CH 16.1. start:3085 paragraphs:6, tables:3, lists:0
de_CH 16.2. start:3129 paragraphs:2, tables:1, lists:1
de_CH 17. start:3141 paragraphs:1, tables:0, lists:0
# end of comparison
