# Structural comparison of mn/userGuide.t2t against mn/userGuide-newRevisions/14866/userGuide.t2t
mn 13.5. start:1737 paragraphs:1, tables:0, lists:0
en 13.5. start:1852 paragraphs:3, tables:0, lists:0
en 13.6. start:1863 paragraphs:2, tables:0, lists:0
mn 14. start:1740 paragraphs:1, tables:0, lists:0
en 14. start:1870 paragraphs:1, tables:0, lists:0
mn 14.1. start:1744 paragraphs:3, tables:0, lists:0
en 14.1. start:1873 paragraphs:5, tables:3, lists:0
mn 14.2. start:1753 paragraphs:2, tables:0, lists:0
en 14.2. start:1934 paragraphs:4, tables:1, lists:0
mn 14.3. start:1760 paragraphs:1, tables:0, lists:0
en 14.3. start:1987 paragraphs:3, tables:1, lists:1
mn 14.4. start:1765 paragraphs:2, tables:0, lists:1
en 14.4. start:2021 paragraphs:2, tables:1, lists:0
mn 14.5. start:1778 paragraphs:3, tables:0, lists:0
en 14.5. start:2041 paragraphs:6, tables:2, lists:1
mn 14.6. start:1789 paragraphs:2, tables:0, lists:0
en 14.6. start:2077 paragraphs:2, tables:1, lists:0
en 14.7. start:2094 paragraphs:2, tables:1, lists:0
en 14.8. start:2111 paragraphs:3, tables:0, lists:0
en 14.8.1. start:2120 paragraphs:0, tables:1, lists:0
en 14.8.2. start:2145 paragraphs:0, tables:1, lists:0
en 14.8.3. start:2153 paragraphs:0, tables:1, lists:0
en 14.9. start:2163 paragraphs:2, tables:1, lists:0
en 14.10. start:2235 paragraphs:2, tables:1, lists:0
en 14.11. start:2257 paragraphs:8, tables:3, lists:2
en 14.12. start:2338 paragraphs:8, tables:4, lists:1
en 14.13. start:2421 paragraphs:9, tables:3, lists:1
en 14.14. start:2513 paragraphs:3, tables:1, lists:1
en 14.15. start:2548 paragraphs:1, tables:1, lists:0
en 14.16. start:2558 paragraphs:3, tables:1, lists:0
en 14.17. start:2642 paragraphs:3, tables:1, lists:0
mn 15. start:1796 paragraphs:1, tables:0, lists:0
en 15. start:2662 paragraphs:0, tables:0, lists:0
mn 15.1. start:1799 paragraphs:5, tables:3, lists:0
en 15.1. start:2664 paragraphs:6, tables:3, lists:0
mn 15.2. start:1858 paragraphs:4, tables:1, lists:0
en 15.2. start:2708 paragraphs:2, tables:1, lists:1
mn 15.3. start:1911 paragraphs:3, tables:1, lists:1
mn 15.4. start:1945 paragraphs:2, tables:1, lists:0
mn 15.5. start:1965 paragraphs:6, tables:2, lists:1
mn 15.6. start:2001 paragraphs:2, tables:1, lists:0
mn 15.7. start:2018 paragraphs:2, tables:1, lists:0
mn 15.8. start:2035 paragraphs:3, tables:0, lists:0
mn 15.8.1. start:2044 paragraphs:0, tables:1, lists:0
